Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    0          0          0          0          0.00
structure_refs      126        11         0          0          0.09
biomes              126        3679       0          1231       29.20
terrain             125        512        1          18         4.10
surface             125        148        0          5          1.18
air_carvers         112        119        0          6          1.06
fluid_carvers       112        3          0          0          0.03
decoration          135        708        1          152        5.24
mob_spawns          163        17         0          1          0.10
structure_searches  0          0          0          0          0.00
Sum                                                             41.00
